Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
,,,.Z,"N/A, TED Track",,,,
bili_pr,"Total serum bilirubin prior to HCT, mg/dL",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
ldhpr,"LDH prior to HCT, U/L",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
screa_pr,"Serum creatinine prior to HCT, mg/dL",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
sfer_pr,"Total serum ferritin prior to HCT, ng/mL",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
salb_pr,"Serum albumin prior to HCT, g/dL",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
neut1pr,"Neutrophils prior to HCT, %",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
lymp1pr,"Lymphocytes prior to HCT, %",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
hc1pr,"Hematocrit prior to HCT, %",Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
rcmvpr,Recipient CMV status,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
venthxpr,History of mechanical ventilation,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,0,No,,,,
,,,1,Yes,,,,
priauto,Prior auto-HCT,Categorical,0,No,Pre-Transplant Variable,No,N/A,
,,,1,Yes,,,,
infntx,Time from fungal infection to HCT (months),Continuous,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.B,No fungal infection prior to HCT,,,,
,,,.Z,"N/A, TED track",,,,
rhtlvpr,HTLV1 antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rebvpr,Epstein-Barr antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhbsabpr,Hepatitis B surface antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhbcabpr,Hepatitis B core antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,6,Not reported/unable to release info,,,,
,,,7,Not tested,,,,
rhbvagpr,Hepatitis B surface antigen test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhbdnapr,Hepatitis B DNA test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhcvabpr,Hepatitis C antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhcnatpr,Hepatitis C nucleic acid test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhavabpr,Hepatitis A antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,7,Not tested,,,,
rhivpr,HIV antibody test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,6,Not reported/unable to release info,,,,
,,,7,Not tested,,,,
rhvnatpr,HIV nucleic acid test results,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED Track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
,,,3,Inconclusive,,,,
,,,6,Not reported/unable to release info,,,,
,,,7,Not tested,,,,
rbcinf,RBC transfusion < 30 days before pre-HCT testing,Categorical,.A,Missing,Pre-Transplant Variable,No,N/A,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
subdis1,Disease subtype,Categorical,3,AML with BCR-ABL1,Pre-Transplant Variable,Possible,Changes treatment before transplant,321-521
,,,4,AML with mutated NPM1,,,"Group into good risk, intermediate risk and poor risk",
,,,5,AML with t(9;11) (p22;q23);MLLT 3-MLL,,,,
,,,6,AML with t(6;9) (p23;q24); DEK-NUP214,,,,
,,,7,AML with inv(3) (q21;q26.2) or t(3;3) (q21;q26.2);RPN1-EVI1,,,,
,,,9,Therapy related AML (t-AML),,,,
