Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
mark_npm1,NPM1 mutation,Categorical,0,Negative,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Positive,,,,
,,,2,Test not done,,,,
,,,96,"N/A, data not collected",,,,
,,,99,Missing,,,,
drigp,Refined disease risk index,Categorical,.A,Missing,Pre-Transplant Variable,Possible,Risk status of disease impacts chemotherapy chosen,
,,,1,Low,,,,
,,,2,Intermediate,,,,
,,,2.1,Intermediate - TED AML case <2013 missing cytogenetics,,,,
,,,3,High,,,,
,,,3.1,High - TED AML case <2013 missing cytogenetics,,,,
,,,4,Very high,,,,
alkemdx_crf,Extramedullary disease at diagnosis,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.X,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
blbldx,"Blasts in blood at diagnosis, (%)",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,No,,
blbmdx,"Blasts in marrow at diagnosis, (%)",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,No,,
alkwbcdxgp10_crf,White blood count at diagnosis,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.E,"N/A, other disease",,,,
,,,.X,"N/A, TED track",,,,
,,,1,<= 10,,,,
,,,2,10 - 100,,,,
,,,3,> 100,,,,
alkemcnsdx_crf,EMD at CNS at diagnosis,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.X,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
aldist,Disease status at time of HCT,Categorical,.A,Missing,Pre-Transplant Variable,Possible,More disease higher doses of chemotherapy,
,,,1,PIF,,,,
,,,2,CR1,,,,
,,,3,CR2,,,,
,,,4,>=CR3,,,,
,,,5,Relapse,,,,
alkindxcr1_crf,"Time to achieve CR1, weeks",Continuous,.A,Missing,Pre-Transplant Variable,No,,
,,,.D,"N/A, not in CR1",,,,
,,,.X,"N/A, TED track",,,,
donorgp,Donor type,Categorical,1,HLA-identical sibling,Pre-Transplant Variable,Yes,Known to impact gvhd risk,703
,,,3,Other related,,,,
,,,4,Well-matched unrelated (8/8),,,,
,,,5,Partially-matched unrelated (7/8),,,,
,,,6,Mis-matched unrelated (<= 6/8),,,,
,,,9,Cord blood,,,,
dnrage,"Donor age, years",Continuous,.A,Missing,Pre-Transplant Variable,Yes,Older donor is associated with increased risk,
,,,.B,"N/A, cord blood",,,,
donorsex,Donor sex (1st donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Donor recipient sex mismatch associated with increased risk,
,,,1,Male,,,,
,,,2,Female,,,,
donorsex2,Donor sex (2nd donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Donor recipient sex mismatch associated with increased risk,
,,,.B,"N/A, single donor",,,,
,,,1,Male,,,,
,,,2,Female,,,,
dnrpregn,Number of donor pregnancies,Continuous,.A,Missing,Pre-Transplant Variable,Yes,Multiple pregnancies increase risk to donor,
,,,.B,"N/A, cord blood or male donor",,,,
,,,.C,Never pregnant,,,,
dnrethni,Donor ethnicity (1st donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,.Z,"N/A, TED track",,,,
,,,1,Hispanic or Latino,,,,
,,,2,Non Hispanic or non-Latino,,,,
,,,3,Non-resident of the U.S.,,,,
,,,8,Unknown,,,,
dnrethni2,Donor ethnicity (2nd donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,.B,"N/A, single donor",,,,
,,,.Z,"N/A, TED track",,,,
,,,1,Hispanic or Latino,,,,
,,,2,Non Hispanic or non-Latino,,,,
,,,3,Non-resident of the U.S.,,,,
,,,8,Unknown,,,,
dnrracegp,Donor race (1st donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,.Z,"N/A, TED track",,,,
,,,1,White,,,,
,,,2,Black or African-American,,,,
,,,3,Asian,,,,
,,,4,Native Hawaiian or other Pacific Islander,,,,
,,,5,American Indian or Alaska Native,,,,
,,,7,Other,,,,
,,,8,More than one race,,,,
,,,9,Cord blood,,,,
dnrracegp2,Donor race (2nd donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Polymorphisms in typing may play a role,
,,,.B,"N/A, single donor",,,,
,,,.Z,"N/A, TED track",,,,
,,,1,White,,,,
,,,2,Black or African-American,,,,
,,,3,Asian,,,,
,,,4,Native Hawaiian or other Pacific Islander,,,,
,,,5,American Indian or Alaska Native,,,,
,,,7,Other,,,,
,,,8,More than one race,,,,
,,,9,Cord blood,,,,
d_rhtype,Donor Rh factor (1st donor),Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
d_rhtype2,Donor Rh factor (2nd donor),Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, single donor",,,,
,,,.Z,"N/A, TED track",,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
d_abotype,Donor blood type (1st donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Blood type difference b/t donor-recipient increases risk,
,,,.Z,"N/A, TED track",,,,
,,,1,A,,,,
,,,2,B,,,,
,,,3,AB,,,,
,,,4,O,,,,
d_abotype2,Donor blood type (2nd donor),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Blood type difference b/t donor-recipient increases risk,
,,,.B,"N/A, single donor",,,,
,,,.Z,"N/A, TED track",,,,
,,,1,A,,,,
,,,2,B,,,,
,,,3,AB,,,,
,,,4,O,,,,
bmtnckg,"Total nucleated cell dose (bone marrow, x 10^8/kg)",Continuous,.A,Missing,Pre-Transplant Variable,No,,
cbtnckg,"Total nucleated cell dose (cord blood, x 10^7/kg)",Continuous,.A,Missing,Pre-Transplant Variable,No,,
pbcd34kg,"CD34+ cell dose (peripheral blood, x 10^6/kg)",Continuous,.A,Missing,Pre-Transplant Variable,Yes,Using peripheral blood increases risk,
bmcd3kg,"CD3+ cells (bone marrow), x10^6/kg",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,Yes,Increased CD3 cells can increase risk,
,,,.A,Missing,,,,
pbcd3kg,"CD3+ cells (peripheral blood), x10^6/kg",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,Yes,Increased CD3 cells can increase risk,
,,,.A,Missing,,,,
cbcd3kg,"CD3+ cells (cord blood), x10^6/kg",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,Yes,Increased CD3 cells can increase risk,
,,,.A,Missing,,,,
condgrp,Reported planned conditioning regimen,Categorical,1,TBI/Cy,Pre-Transplant Variable,Yes,Type of chemotherapy increases risk,Use 666 first and then break it down if signficiant
,,,2,TBI/Cy/Flu,,,Group 1-9 together,
,,,3,TBI/Cy/Flu/TT,,,Group 10-12 together,
,,,4,TBI/Cy/TT,,,Group 13-16 together,
,,,5,TBI/Cy/VP,,,Group 18-19 together,
,,,6,TBI/VP,,,Group 23-24 together,
,,,7,TBI/Mel,,,"25, 26, 27 are extra rarely used",
,,,8,TBI/Flu,,,,
,,,9,TBI/other(s),,,,
,,,10,Bu/Cy/Mel,,,,
,,,11,Bu/Cy,,,,
,,,12,Bu/Mel,,,,
,,,13,Flu/Bu/TT,,,,
,,,14,Flu/Bu,,,,
,,,15,Flu/Mel/TT,,,,
,,,16,Flu/Mel,,,,
,,,18,Cy/Flu,,,,
,,,19,Cy alone,,,,
,,,23,Mel alone,,,,
,,,24,Mel/other(s),,,,
,,,25,Treosulfan,,,,
,,,27,Carb/other(s),,,,
,,,28,TLI,,,,
,,,90,Other(s),,,,
,,,99,Missing,,,,
condint_combo,Computed conditioning intensity,Categorical,1,MAC,Pre-Transplant Variable,Yes,intensity of chemotherapy contributes to risk,641
,,,2,RIC,,,,
,,,3,NMA,,,,
,,,4,RIC/NMA,,,,
,,,99,Missing,,,,
condrpt,Reported planned conditioning intensity (MAC vs. RIC/NMA),Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,0,RIC/NMA,,,,
,,,1,MAC,,,,
radtrtb,Received radiation,Categorical,.A,Missing,Pre-Transplant Variable,Yes,Radiation can increase risk,"641, 666"
,,,0,No radiation,,,,
,,,1,TBI,,,,
,,,2,TLI,,,,
radose,Total radiation dose (cGy),Continuous,.A,Missing,Pre-Transplant Variable,Yes,More radiation increases the risk,"641, 666, 674"
,,,.B,No radiation,,,,
radnfx,Number of radiation fractions,Continuous,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,No radiation,,,,
,,,.C,Non-fractionated,,,,
,,,.D,Not collected for TED < 2013,,,,
radfxdose,Radiation dose per fraction (cGy),Continuous,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,No radiation,,,,
,,,.C,Non-fractionated,,,,
,,,.D,Not collected for TED < 2013,,,,
lpamgp,Melphalan dose (mg/m^2),Categorical,.A,Missing,Pre-Transplant Variable,Yes,amount of alkylating agent could increase risk,"641, 666"
,,,1,MEL 140,,,,
,,,2,MEL 200,,,,
,,,3,"N/A, Mel not given",,,,
budosegp,Busulfan dose (conditioning),Categorical,.A,Missing,Pre-Transplant Variable,Yes,amount of alkylating agent could increase risk,"641, 666"
,,,1,>= 9 mg/kg oral or >= 7.2 mg/kg IV,,,,
,,,2,"< 9 mg/kg, oral or < 7.2 mg/kg IV",,,,
,,,3,"N/A, busulfan not given",,,,
invivotcd,In-vivo T-cell depletion (ATG/alemtuzumab),Categorical,.A,Missing,Pre-Transplant Variable,Yes,Decreases the risk of gvhd,
,,,0,No,,,,
,,,1,Yes,,,,
blblpr,"Blasts in blood at last evaluation, (%)",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,No,,
,,,.A,Missing,,,,
blbmpr,"Blasts in bone marrow at last evaluation, (%)",Continuous,.Z,"N/A, TED track",Pre-Transplant Variable,No,,
,,,.A,Missing,,,,
donorgp_hla,HLA match,Categorical,.A,Missing,Pre-Transplant Variable,Yes,HLA typing variations can increase the risk,558
,,,1,8/8,,,,
,,,2,7/8,,,,
,,,3,<=6/8,,,,
,,,4,6/6,,,,
,,,5,5/6,,,,
,,,6,<=4/6,,,,
drsex,Donor/recipient sex match,Categorical,1,M-M,Pre-Transplant Variable,Yes,Donor recipient sex mismatch associated with increased risk,"4, 566"
,,,2,M-F,,,,
,,,3,F-M,,,,
,,,4,F-F,,,,
,,,9.1,CB - recipient M,,,,
,,,9.2,CB - recipient F,,,,
,,,.A,Missing,,,,
graftype,Graft type,Categorical,1,Bone marrow,Pre-Transplant Variable,Yes,Peripheral blood has increased risk,
,,,22,Peripheral blood,,,,
,,,23,Cord blood,,,,
exvivotcd,Received ex-vivo T-cell depletion,Categorical,0,No,Pre-Transplant Variable,Yes,Decreases risk of gvhd,
,,,1,Yes,,,,
,,,99,Missing,,,,
drcmvpr,Donor/recipient CMV serostatus,Categorical,0,+/+,Pre-Transplant Variable,Possible,Infection with CMV can increase risk,
,,,1,+/-,,,,
,,,2,-/+,,,,
,,,3,-/-,,,,
,,,9.1,CB - recipient +,,,,
,,,9.2,CB - recipient -,,,,
,,,9.9,CB - recipient CMV unknown,,,,
,,,.A,Missing,,,,
drabomatch,Donor/recipient ABO match,Categorical,0,Matched,Pre-Transplant Variable,Yes,Blood type difference b/t donor-recipient increases risk,"110, 619, 625"
,,,1,Minor mismatch,,,,
,,,2,Major mismatch,,,,
,,,3,Bi-directional,,,,
,,,9.1,CB - recipient A,,,,
,,,9.2,CB - recipient B,,,,
,,,9.3,CB - recipient AB,,,,
,,,9.4,CB - recipient O,,,,
,,,9.9,CB - recipient ABO unknown,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
gvhdgp_combo,GVHD prophylaxis,Categorical,.A,Missing,Pre-Transplant Variable,Yes,prophylaxis can impact gvhd risk,
,,,1,Ex-vivo T-cell depletion,,,"Group 1,2 together, Group 3.1,3.2 together",
,,,2,CD34 selection,,,"Group 4,8 together, Group 5,9 together",
,,,3.1,Post-CY + other(s),,,"Group 6, 10 together, Gropu 7,11 together",
,,,3.2,Post-CY alone,,,,
,,,4,TAC + MMF +- other(s) (except post-CY),,,,
,,,5,"TAC + MTX +- other(s) (except MMF, post-CY)",,,,
,,,6,"TAC + other(s) (except MMF, MTX, post-CY)",,,,
,,,7,TAC alone,,,,
,,,8,CSA + MMF +- other(s) (except post-CY),,,,
,,,9,"CSA + MTX +- other(s) (except MMF, post-CY)",,,,
,,,10,"CSA + other(s) (except MMF, MTX, post-CY)",,,,
,,,11,CSA alone,,,,
,,,20,Other(s),,,,
agvhd24,Acute GVHD (grade II-IV) occurred post-HCT,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No,,,,
,,,1,Yes,,,,
agvhd34,Acute GVHD (grade III-IV) occurred post-HCT,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No,,,,
,,,1,Yes,,,,
intxagvhd24,"Time from HCT to acute GVHD (grade II-IV), months",Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,"N/A, TED < 2017",,,,
intxagvhd34,"Time from HCT to acute GVHD (grade III-IV), months",Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,"N/A, TED < 2017",,,,
ahisgut,Acute GVHD evaluated by biopsy - GI,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
ahisliv,Acute GVHD evaluated by biopsy - liver,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
ahislung,Acute GVHD evaluated by biopsy - lung,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
ahiskin,Acute GVHD evaluated by biopsy - skin,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
ahisoth,Acute GVHD evaluated by biopsy - other,Categorical,0,Negative,Outcome Variable,N/A,,
,,,1,Positive,,,,
,,,2,Suggestive,,,,
,,,3,Inconclusive,,,,
,,,4,Not tested,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
agvhdgradeb,Maximum grade of acute GVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.B,No acute GVHD,,,,
,,,0,0,,,,
,,,1,1,,,,
,,,2,2,,,,
,,,3,3,,,,
,,,4,4,,,,
agvhskin,Skin involvement at time of maximum grade of aGVHD,Categorical,0,No involvement,Outcome Variable,N/A,,
,,,1,Stage 0,,,,
,,,2,Stage 1,,,,
,,,3,Stage 2,,,,
,,,4,Stage 3,,,,
,,,5,Stage 4,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
agvhliver,Liver involvement at time of maximum grade of aGVHD,Categorical,0,No involvement,Outcome Variable,N/A,,
,,,1,Stage 0,,,,
,,,2,Stage 1,,,,
,,,3,Stage 2,,,,
,,,4,Stage 3,,,,
,,,5,Stage 4,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
agvhlgi,Lower GI involvement at time of maximum grade of aGVHD,Categorical,0,No involvement,Outcome Variable,N/A,,
,,,1,Stage 0,,,,
,,,2,Stage 1,,,,
,,,3,Stage 2,,,,
,,,4,Stage 3,,,,
,,,5,Stage 4,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
agvhugi,Upper GI involvement at time of maximum grade of aGVHD,Categorical,1,Stage 0,Outcome Variable,N/A,,
,,,2,Stage 1,,,,
,,,97,No acute GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgvhd,Chronic GVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,Censoring,,,,
,,,1,Event,,,,
intxcgvhd,"Time from HCT to diagnosis of chronic GVHD, months",Continuous,.A,Missing,Outcome Variable,N/A,,
cgprog,Progression of cGVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,No chronic GVHD,,,,
,,,1,Progressive,,,,
,,,2,Interrupted,,,,
,,,3,De novo,,,,
cgkps,Karnofsky score at chronic GVHD diagnosis,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.B,No chronic GVHD,,,,
,,,.Z,"N/A, TED Track",,,,
,,,10,10,,,,
,,,20,20,,,,
,,,30,30,,,,
,,,40,40,,,,
,,,50,50,,,,
,,,60,60,,,,
,,,70,70,,,,
,,,80,80,,,,
,,,90,90,,,,
,,,100,100,,,,
cgplt,"Platelet count at chronic GVHD diagnosis, x10^9/L",Continuous,.A,Missing,Outcome Variable,N/A,,
,,,.B,No chronic GVHD,,,,
,,,.Z,"N/A, TED Track",,,,
cgnihsevb,CGVHD NIH Global Severity,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.B,"N/A, data not collected",,,,
,,,.Z,"N/A, TED Track",,,,
,,,0,No chronic GVHD,,,,
,,,1,Mild,,,,
,,,2,Moderate,,,,
,,,3,Severe,,,,
cgskin,CGVHD skin involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgeyes,CGVHD eye involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgmouth,CGVHD mouth involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cglung,CGVHD lung involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cggi,CGVHD GI involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgliver,CGVHD liver involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cggu,CGVHD genitourinary involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgmusculo,CGVHD musculoskeletal involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cghema,CGVHD other hematologic involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgother,CGVHD other organ involvement,Categorical,0,No,Outcome Variable,N/A,,
,,,1,Yes,,,,
,,,97,No chronic GVHD,,,,
,,,98,"N/A, TED track",,,,
,,,99,Missing,,,,
cgvhdle,Chronic GVHD: limited vs. extensive,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No chronic GVHD,,,,
,,,1,Limited,,,,
,,,2,Extensive,,,,
grfs,"GVHD-free, relapse-free survival (GRFS)",Categorical,.A,Missing,Outcome Variable,N/A,,
,,,.Z,"N/A, TED track",,,,
,,,0,Censoring,,,,
,,,1,Event,,,,
intxgrfs,"Time from HCT to GRFS, months",Continuous,.A,Missing,Outcome Variable,N/A,,
trm,Non-relapse mortality,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,Censoring,,,,
,,,1,Event,,,,
intxrel,"Time from HCT to relapse / death, months",Continuous,.A,Missing,Outcome Variable,N/A,,
rel,Relapse,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,Censoring,,,,
,,,1,Event,,,,
dwocgvhd,Death without chronic GVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No,,,,
,,,1,Yes,,,,
dwoagvhd24,Death without grade II-IV acute GVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No,,,,
,,,1,Yes,,,,
dwoagvhd34,Death without grade III-IV acute GVHD,Categorical,.A,Missing,Outcome Variable,N/A,,
,,,0,No,,,,
,,,1,Yes,,,,
dummycrid,Patient ID,Continuous,,,,,,
dummyccn,Center ID,Continuous,,,,,,
zipmedian,Median household by zipcode,Continuous,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,.E,"N/A, non-US country",,,,
,,,.Y,"N/A, data not collected",,,,
arrhytpr,Pre-transplant comorbidity: Arrhythmia,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
cardiapr,Pre-transplant comorbidity: Cardiac,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
cvapr,Pre-transplant comorbidity: Cerebrovascular disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
diabetpr,Pre-transplant comorbidity: Diabetes,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hvalvepr,Pre-transplant comorbidity: Heart valve disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hepmilpr,"Pre-transplant comorbidity: Hepatic, mild",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
hepsevpr,"Pre-transplant comorbidity: Hepatic, moderate / severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
infectpr,Pre-transplant comorbidity: Infection,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
bowelpr,Pre-transplant comorbidity: Inflammatory bowel disease,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
obesitpr,Pre-transplant comorbidity: Obesity,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
pudpr,Pre-transplant comorbidity: Peptic ulcer,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
psychipr,Pre-transplant comorbidity: Psychiatric disturbance,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
dlco66pr,"Pre-transplant comorbidity: Pulmonary, moderate",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
dlco65pr,"Pre-transplant comorbidity: Pulmonary, severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
renalpr,"Pre-transplant comorbidity: Renal, moderate / severe",Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
rheumapr,Pre-transplant comorbidity: Rheumatologic,Categorical,.A,Missing,Pre-Transplant Variable,No,Is part of the HCT-CI,116
,,,0,No,,,,
,,,1,Yes,,,,
bmi,Body mass index (BMI),Continuous,.A,Missing,Pre-Transplant Variable,Yes,increased weight can increase inflammation,"124, 125"
mrdpr,MRD at time of HCT (AML/ALL),Categorical,.A,Missing,,,,
,,,0,Negative,,,,
,,,1,Positive,,,,
alktotind_crf,Number of induction lines,Categorical,.A,Missing,Pre-Transplant Variable,Possible,increased number of chemotherapies increase risk,
,,,.X,"N/A, TED track",,,,
,,,1,1,,,,
,,,2,2,,,,
,,,3,3,,,,
,,,4,4,,,,
,,,5,5,,,,
,,,6,6,,,,
alktotcns_crf,Number of consolidation lines,Categorical,.A,Missing,Pre-Transplant Variable,Possible,increased number of chemotherapies increase risk,
,,,.X,"N/A, TED track",,,,
,,,1,1,,,,
,,,2,2,,,,
,,,3,3,,,,
,,,4,4,,,,
cd34sel,CD34 selected,Categorical,.A,Missing,Pre-Transplant Variable,Yes,reduces gvhd risk,742
,,,0,No,,,,
,,,1,Yes,,,,
frzprd,Product was cryopreserved,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvdfbh1,Liver toxicity prophylaxis: Defibrotide,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvnach1,Liver toxicity prophylaxis: N-acetylcysteine,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvtpah1,Liver toxicity prophylaxis: Tissue plasminogen activator (TPA),Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvursh1,Liver toxicity prophylaxis: Ursodiol,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plvorxh1,Liver toxicity prophylaxis: Other therapy,Categorical,.A,Missing,Pre-Transplant Variable,No,,
,,,.B,"N/A, data not collected",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pamoxih1,Infection prophylaxis: Amoxicillin clavulanate oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pomnich1,Infection prophylaxis: Cefdinir oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pvantih1,Infection prophylaxis: Cefpodoxime oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pciproh1,Infection prophylaxis: Ciprofloxacin IV or oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
pertaph1,Infection prophylaxis: Ertapenem IV,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
plevaqh1,Infection prophylaxis: Levofloxacin IV or oral,Categorical,.B,"N/A, data not collected",Pre-Transplant Variable,No,,
,,,.Z,"N/A, TED track",,,,
,,,0,No,,,,
,,,1,Yes,,,,
